name,slug,description,is_active
Gul Ahmed,gul-ahmed,Premium Pakistani textile brand,true
Khaadi,khaadi,Popular clothing and lifestyle brand,true
Bonanza Satrangi,bonanza-satrangi,Colorful and trendy clothing brand,true
Alkaram Studio,alkaram-studio,Fabric and ready-to-wear clothing,true
Outfitters,outfitters,Youth casual and denim brand,true
Sapphire,sapphire,Luxury fashion and clothing brand,true
J. Junaid Jamshed,j-junaid-jamshed,Traditional and contemporary clothing,true
Sana Safinaz,sana-safinaz,High-end women's fashion,true
Zara (Local),zara-local,Imported fashion clothing,true
No Brand,no-brand,Unbranded local products,true
