name,email,phone,address,city,opening_balance,is_active,notes
Textile Hub Lahore,info@textilehub.pk,0300-1234567,12 Main Market Gulberg,Lahore,50000,true,Main fabric supplier
Fashion Wholesale Karachi,sales@fashionwholesale.pk,0321-9876543,45 Saddar Commercial Area,Karachi,25000,true,Ready-made garments supplier
Denim World,denim@denimworld.pk,0333-4567890,Block 7 PECHS,Karachi,0,true,Denim jeans and jackets
Faisalabad Fabrics,contact@fsdFabrics.pk,0311-2345678,Clock Tower Road,Faisalabad,75000,true,Raw fabric and cloth rolls
Kids Zone Supplier,kids@kidszone.pk,0345-6789012,Liberty Market,Lahore,15000,true,Children clothing supplier
Winter Wear Co,info@winterwear.pk,0300-8765432,Canal Road,Lahore,0,true,Jackets coats and winter items
Sportswear Direct,sport@swdirect.pk,0322-3456789,Industrial Area Phase 2,Rawalpindi,30000,true,Athletic and gym wear
Undergarment Factory,sales@ugfactory.pk,0312-4567891,Shahdara Industrial Zone,Lahore,20000,true,Inner wear manufacturer
Accessory World,acc@accworld.pk,0344-5678901,Anarkali Bazaar,Lahore,5000,true,Belts caps and accessories
Supreme Clothing,info@supremeclothing.pk,0301-6789012,M.A Jinnah Road,Karachi,40000,true,Mixed garments wholesale
