title,amount,payment_method,expense_date,notes
Shop Rent August,35000,bank_transfer,2026-08-01,Monthly shop rent payment
Electricity Bill July,8500,cash,2026-08-03,LESCO electricity bill
Staff Salary - Ahmed,25000,bank_transfer,2026-08-05,Monthly salary for sales staff Ahmed
Staff Salary - Sana,22000,bank_transfer,2026-08-05,Monthly salary for sales staff Sana
Internet & WiFi Bill,2500,cash,2026-08-05,Monthly internet package
Shop Maintenance,4500,cash,2026-08-08,Repair of ceiling fan and lights
Packaging Materials,6000,cash,2026-08-10,Shopping bags tissue paper and boxes
Generator Fuel,3200,cash,2026-08-10,Diesel for generator
Postage & Courier,1800,cash,2026-08-12,Courier charges for online orders
Tea & Refreshments,1200,cash,2026-08-15,Monthly tea and refreshments for staff
Water Bill,800,cash,2026-08-15,Monthly water utility
Display & Mannequins,15000,card,2026-08-18,New mannequins for window display
Marketing - Social Media,8000,bank_transfer,2026-08-20,Facebook and Instagram ads
Cleaning Supplies,2000,cash,2026-08-22,Cleaning materials for shop
Stationery,1500,cash,2026-08-25,Receipt books pens and stationery
POS Receipt Paper Rolls,900,cash,2026-08-28,Thermal paper rolls for printer
Security Guard Salary,18000,cash,2026-09-05,Monthly salary for security
Staff Salary - Ali,22000,bank_transfer,2026-09-05,Monthly salary for cashier Ali
Shop Rent September,35000,bank_transfer,2026-09-01,Monthly shop rent payment
Electricity Bill August,9200,cash,2026-09-03,LESCO electricity bill August
